GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Member-Microservice,com.cts.membermicroservice.service,MemberService,39,56,3,5,14,11,4,4,2,2
Member-Microservice,com.cts.membermicroservice.service,CustomIdGenerator,0,42,0,0,0,6,0,3,0,3
Member-Microservice,com.cts.membermicroservice,MemberMicroserviceApplication,5,120,0,4,2,26,1,5,1,3
Member-Microservice,com.cts.membermicroservice.exception,GlobalExceptionHandler,78,7,0,0,18,2,3,2,3,2
Member-Microservice,com.cts.membermicroservice.exception,MemberNotFoundException,0,4,0,0,0,2,0,1,0,1
Member-Microservice,com.cts.membermicroservice.exception,PolicyNotFoundException,4,0,0,0,2,0,1,0,1,0
Member-Microservice,com.cts.membermicroservice.exception,ClaimNotFoundException,4,0,0,0,2,0,1,0,1,0
Member-Microservice,com.cts.membermicroservice.exception,ErrorResponse,58,0,0,0,7,0,9,0,9,0
Member-Microservice,com.cts.membermicroservice.exception,TokenExpireException,0,4,0,0,0,2,0,1,0,1
Member-Microservice,com.cts.membermicroservice.pojo,Bill,24,43,0,0,1,7,6,8,6,8
Member-Microservice,com.cts.membermicroservice.pojo,Claim,73,0,0,0,12,0,21,0,21,0
Member-Microservice,com.cts.membermicroservice.pojo,ClaimInput,52,0,0,0,9,0,15,0,15,0
Member-Microservice,com.cts.membermicroservice.pojo,Bill.BillBuilder,37,49,0,0,0,1,1,8,1,8
Member-Microservice,com.cts.membermicroservice.pojo,ClaimStatusOutput,17,0,0,0,4,0,5,0,5,0
Member-Microservice,com.cts.membermicroservice.entity,MemberPremium.MemberPremiumBuilder,47,51,0,0,0,1,2,8,2,8
Member-Microservice,com.cts.membermicroservice.entity,Member.MemberBuilder,42,44,0,0,0,1,2,7,2,7
Member-Microservice,com.cts.membermicroservice.entity,Member,176,121,38,4,0,10,30,10,9,10
Member-Microservice,com.cts.membermicroservice.entity,MemberPremium,269,49,44,0,2,9,34,9,12,9
Member-Microservice,com.cts.membermicroservice.controller,MemberController,19,3,0,0,3,1,3,1,3,1
Member-Microservice,com.cts.membermicroservice.config,SwaggerConfig,0,14,0,0,0,3,0,2,0,2
